chunk_id,book,page,chunk_index,char_count,token_count_est,word_count,has_newline,preview
0,Allana-Piza-YAzyk-telodvizhenij,1,0,406,101,58,False,Annotation Книга Аллана Пиза «Язык телодвижений» уже в течение двух десятилетий остается мировым бес
1,Allana-Piza-YAzyk-telodvizhenij,1,1,443,110,59,False,"«Новый» язык откроет перед вами новые горизонты восприятия людей, поможет почувствовать себя уверенн"
2,Allana-Piza-YAzyk-telodvizhenij,1,2,451,112,55,False,Основные Коммуникационные Жесты и Их Происхождение Совокупность Жестов Конгруэнтность — Совпадение С
3,Allana-Piza-YAzyk-telodvizhenij,1,3,76,19,10,False, Связанные с Занятием Свободного Места Зональные Пространства у Разных Наций
4,Allana-Piza-YAzyk-telodvizhenij,2,0,371,92,51,False,Различие Пространственных Зон у Горожан и Жителей Сельской Местности Территория и Собственность Авто
5,Allana-Piza-YAzyk-telodvizhenij,2,1,472,118,61,False,Потирание Ладоней Потирание Большого Пальца об Указательный Сцепленные Пальцы Рук Шпилеобразное Поло
6,Allana-Piza-YAzyk-telodvizhenij,2,2,178,44,27,False, Связанных с Принятием Решения Сочетание Различных «Рука к-Лицу» Жестов Потирание Затылка и Хлопок п
7,Allana-Piza-YAzyk-telodvizhenij,3,0,446,111,61,False,"Жест Скрещивание Рук, Усиленное Сжатием Пальцев в Кулак Кисти Скрещенных Рук на Плечевой Части Руки "
8,Allana-Piza-YAzyk-telodvizhenij,3,1,72,18,9,False,"Стадии Расслабления Напряженной Позы Защищается — или, может, Замерзла? "
9,Allana-Piza-YAzyk-telodvizhenij,3,2,507,126,68,False,Прижатые к Друг Другу Лодыжки Фиксирование Ступни Одной Ноги на Голени Другой Глава VIII Манера Сиде
10,Allana-Piza-YAzyk-telodvizhenij,3,3,27,6,4,False, Взгляд Собеседника Глава X
11,Allana-Piza-YAzyk-telodvizhenij,4,0,460,115,56,False,"Жесты, Используемые Мужчинами при Ухаживании Жесты и Сигналы, Используемые Женщинами для Завлечения "
12,Allana-Piza-YAzyk-telodvizhenij,4,1,197,49,26,False, Характерные для Курящих Манипулирование Очками Способы Затянуть Время Взгляд Поверх Очков Глава XII
